0,1
Extended Links,Mandatory Elements
[110000] Balance sheet,"Property, plant and equipment"
[110000] Balance sheet,Other intangible assets
[110000] Balance sheet,Non-current investments
[110000] Balance sheet,"Loans, non-current"
[110000] Balance sheet,Total non-current financial assets
[110000] Balance sheet,Total non-current assets
[110000] Balance sheet,Inventories
[110000] Balance sheet,Current investments
[110000] Balance sheet,"Trade receivables, current"
[110000] Balance sheet,Cash and cash equivalents
[110000] Balance sheet,"Loans, current"
[110000] Balance sheet,Total current financial assets
[110000] Balance sheet,Total current assets
[110000] Balance sheet,Total assets
[110000] Balance sheet,Equity share capital
[110000] Balance sheet,Other equity
[110000] Balance sheet,Total equity
[110000] Balance sheet,"Borrowings, non-current"
[110000] Balance sheet,Total non-current financial liabilities
[110000] Balance sheet,"Provisions, non-current"
[110000] Balance sheet,Total non-current liabilities
[110000] Balance sheet,"Borrowings, current"
[110000] Balance sheet,"Trade payables, current"
[110000] Balance sheet,Total current financial liabilities
[110000] Balance sheet,"Provisions, current"
[110000] Balance sheet,Total current liabilities
[110000] Balance sheet,Total liabilities
[110000] Balance sheet,Total equity and liabilities
[210000] Statement of profit and loss,Revenue from operations
[210000] Statement of profit and loss,Other income
[210000] Statement of profit and loss,Total income
[210000] Statement of profit and loss,Cost of materials consumed
[210000] Statement of profit and loss,"Changes in inventories of finished goods, work-in-progress and stock-in-trade"
[210000] Statement of profit and loss,Employee benefit expense
[210000] Statement of profit and loss,Finance costs
[210000] Statement of profit and loss,"Depreciation, depletion and amortisation"
,expense
[210000] Statement of profit and loss,Other expenses
[210000] Statement of profit and loss,Total expenses
[210000] Statement of profit and loss,Total profit before tax
[210000] Statement of profit and loss,Total tax expense
[210000] Statement of profit and loss,Total profit (loss) for period from continuing operations
[210000] Statement of profit and loss,Total profit (loss) for period
[210000] Statement of profit and loss,Whether company has other comprehensive income OCI components presented net of tax
[210000] Statement of profit and loss,Total comprehensive income
[210000] Statement of profit and loss,Comprehensive income OCI components presented before tax [Abstract]
[210000] Statement of profit and loss,Whether company has comprehensive income OCI components presented before tax
[210000] Statement of profit and loss,Total comprehensive income
[210000] Statement of profit and loss,Earnings per share [Table]
"[310000] Cash flow statement,direct",Whether cash flow statement is applicable on company
"[320000] Cash flow statement, indirect",Whether cash flow statement is applicable on company
