,"01/04/2022
to
31/03/2023","01/04/2021
to
31/03/2022",,,,,
"Advances, non-current","3,318.72","3,301.78",,,,,
Fixed deposits with banks,0,0,,,,,
Total balance with banks,0,0,,,,,
Cash on hand,1.64,1.15,,,,,
Total cash and cash equivalents,858.98,"2,671.59",,,,,
Total cash and bank balances,"1,077.33","2,855.29",,,,,
"Total balances held with banks to extent held as margin money or security against borrowings, guarantees or other commitments",,,,,,,
Bank deposits with more than 12 months maturity,0,0,,,,,
Interest accrued on borrowings,748.4,568.98,,,,,
Interest accrued on public deposits,0,0,,,,,
Interest accrued others,0,0,,,,,
Unpaid dividends,84.45,68.82,,,,,
Unpaid matured deposits and interest accrued thereon,0,0,,,,,
Unpaid matured debentures and interest accrued thereon,0,0,,,,,
Debentures claimed but not paid,0,0,,,,,
"Public deposit payable, current",0,0,,,,,
Current liabilities portion of share application money pending allotment,0,0,,,,,
